T_Key,label,attribute,sex,x,y,cluster
1955,松尾由美子,キャスター,F,14.5,75,NEXTブレイク
1956,小川彩佳,キャスター,F,37.2,62.3,該当なし
1957,八木早希,キャスター,F,6.6,75.3,NEXTブレイク
1967,荒川良々,俳優,M,41.7,69.3,注目
1969,藤ヶ谷太輔（Kis-My-Ft2）,俳優,M,60.9,68.2,注目
1971,鈴木亮平,俳優,M,66.5,74.7,該当なし
1972,具志堅用高,タレント,M,85.6,55.3,今旬
1973,剛力彩芽,俳優,F,82.6,45.3,該当なし
1975,有村架純,俳優,F,86.2,77.4,今旬
1978,バカリズム,お笑いタレント,M,81.5,74.7,今旬
1981,EXILE AKIRA,歌手・ミュージシャン,M,51.5,58,注目
1985,山本彩,歌手・ミュージシャン,F,57.4,67.4,注目
1986,武田真一,キャスター,M,41.3,69.8,注目
1987,小野文惠,キャスター,F,19.5,66.5,NEXTブレイク
1989,石川佳純,現役スポーツ選手,F,67.1,71.1,今旬
1993,横尾渉（Kis-My-Ft2）,俳優,M,44.8,62.7,注目
1994,宮田俊哉（Kis-My-Ft2）,俳優,M,48.3,67,注目
1995,古川雄輝,俳優,M,20.8,73.8,NEXTブレイク
1997,千賀健永（Kis-My-Ft2）,俳優,M,48.8,66.9,注目
1998,千葉雄大,俳優,M,65.2,79.6,今旬
2000,北山宏光（Kis-My-Ft2）,俳優,M,54.3,70.2,注目
2001,満島真之介,俳優,M,46.9,71.5,注目
2002,杉村太蔵,タレント,M,70.7,44.1,大御所＆安定
2010,マキタスポーツ,お笑いタレント,M,45.1,62.5,注目
2014,西島隆弘（Nissy）,歌手・ミュージシャン,M,40.8,65.3,注目
2016,横山由依(AKB48),歌手・ミュージシャン,F,46.6,58.3,注目
2019,水卜麻美,キャスター,F,79.6,77.5,今旬
2023,尾木直樹,著名人,M,57,55.5,大御所＆安定
2025,青柳翔,俳優,M,17,70.6,NEXTブレイク
2028,佐藤二朗,俳優,M,66.7,72.6,今旬
2029,二階堂高嗣（Kis-My-Ft2）,俳優,M,44.5,70.8,注目
2031,二階堂ふみ,俳優,F,74.2,71.4,今旬
2038,渡辺大知（黒猫チェルシー）,俳優,M,9,78.8,NEXTブレイク
2040,宇賀なつみ,キャスター,F,34.1,70.9,注目
2044,茂木健一郎,著名人,M,54.3,51.9,注目
2046,きゃりーぱみゅぱみゅ,歌手・ミュージシャン,F,82.8,56.5,大御所＆安定
2049,織田信成,著名人,M,71,57.6,大御所＆安定
2053,渡部豪太,俳優,M,23.3,61.3,NEXTブレイク
2054,Sexy Zone,歌手・ミュージシャン,M,49.7,77.5,該当なし
2055,本田望結,俳優,F,71.8,64.7,注目
2060,染谷将太,俳優,M,51.5,72,注目
2063,渡辺直美,お笑いタレント,F,88.3,72.8,今旬
2065,田中みな実,キャスター,F,81.8,66.1,今旬
2068,大熊英司,キャスター,M,16.1,76.8,NEXTブレイク
2069,杉咲花,俳優,F,66.3,75.3,注目
2072,徳島えりか,キャスター,F,42.3,74,注目
2073,菜々緒,俳優,F,78.5,74.4,今旬
2076,本田翼,俳優,F,79.1,71.7,今旬
2078,佐藤勝利（Sexy Zone）,歌手・ミュージシャン,M,49.8,79.7,注目
2080,木村文乃,俳優,F,66.5,76.3,今旬
2083,島崎遥香,俳優,F,55.5,60.9,注目
2084,兒玉遥,俳優,F,16.4,57.8,該当なし
2088,菊池風磨（Sexy Zone）,歌手・ミュージシャン,M,50,74,注目
2089,HKT48,歌手・ミュージシャン,F,21.5,60.6,該当なし
2090,小籔千豊,お笑いタレント,M,72.7,57.6,大御所＆安定
2092,竹内由恵,キャスター,F,37.5,63.8,該当なし
2093,藤本敏史（FUJIWARA）,お笑いタレント,M,72.3,54.7,大御所＆安定
2095,羽生結弦,現役スポーツ選手,M,86.6,71.2,今旬
2097,松島聡（Sexy Zone）,歌手・ミュージシャン,M,34.9,79.7,NEXTブレイク
2098,中川大志,俳優,M,54.6,79,注目
2101,山本舞香,俳優,F,40.3,60.3,該当なし
2104,百田夏菜子（ももいろクローバーZ）,歌手・ミュージシャン,F,58.9,66.4,注目
2105,乃木坂４６,歌手・ミュージシャン,F,37.5,74.8,注目
2106,マリウス葉（Sexy Zone）,歌手・ミュージシャン,M,48.6,72.5,注目
2111,土屋太鳳,俳優,F,82.8,63.6,今旬
2113,北村有起哉,俳優,M,25.5,73.3,NEXTブレイク
2117,杉野真実,キャスター,F,12.9,76.8,NEXTブレイク
2118,久野静香,キャスター,F,12.5,78.1,NEXTブレイク
2125,河北麻友子,タレント,F,70,63.9,注目
2127,玉井詩織（ももいろクローバーZ）,歌手・ミュージシャン,F,42.4,65.5,注目
2128,高城れに（ももいろクローバーZ）,歌手・ミュージシャン,F,41.9,61.8,該当なし
2131,佐々木彩夏（ももいろクローバーZ）,歌手・ミュージシャン,F,40,68.9,注目
2132,石井杏奈,俳優,F,22.9,69,NEXTブレイク
2133,サカナクション,歌手・ミュージシャン,M,41,74.9,注目
2136,ゴールデンボンバー,歌手・ミュージシャン,M,74.1,69.3,今旬
2138,千鳥,お笑いタレント,M,81,80.5,今旬
2146,工藤静香,歌手・ミュージシャン,F,75.5,41.3,該当なし
2149,風間俊介,俳優,M,74.3,77,今旬
2153,野村周平,俳優,M,51.9,61.5,注目
2154,吉沢亮,俳優,M,65.8,81.5,注目
